"","Gender","Age","AgeGroup","HCReceivedSupport","productivity","spon.consec","dce","ihc","junyi.ihc","productivity_junyi","notes_junyi","productivity_rms","prod_tomerge","ihc_rms","ihc_tomerge","fhc_rms","fhc_pc_indnum..seq","fhc_tomerge","spon.raw","sup.noerror","sup.raw","sup.times","notes_rms","undetected_error","why_productive","reminders.total","reminders.recovered","notes_SL","participant"
"101","M",4.51,"4.5-5y",1,"prod",49,49,37,49,"prod","","prod","prod",37,37,99,"99",99,"1-37,34,[37]38-49",99,"[50]51-59[60]61-69[70]71-79[80]81-89[90]91-99[100]idk",5,"","","count at least two decades higher than DCE without making more than three errors in each of those two decades",2,2,"","infinity-125"
"102","F",4.66,"4.5-5y",1,"nonprod",19,19,13,13,"nonprod","","nonprod","nonprod",13,13,19,"19",19,"1-13,16-19",19,"[20],40,idk",1,"","","",0,0,"","infinity-126"
"103","m",5.92,"5.5-6y",0,"prod",109,NA,109,109,"prod","","prod","prod",109,109,109,"109",109,"1-109,101-109,200-209,300-309,end",NA,NA,NA,"","","count to 99 on their own without making more than three errors",2,2,"","infinity-127"
"104","f",5.36,"5-5.5y",0,"prod",130,NA,115,115,"prod","","prod","prod",115,115,130,"130",130,"1-115,117-126,128-130",NA,NA,NA,"","","count to 99 on their own without making more than three errors",5,5,"","infinity-128"
"105","f",5.02,"5-5.5y",0,NA,99,NA,54,54,"prod","counted 2+ decades past first error","prod","prod",54,54,109,"88--109",109,"1-54,57,59,60-88,90-99",109,"[100],101-109,[110],no",2,"","multiple errors before stopping mid-decade","undetected error, satisfy criteria.",2,2,"","infinity-129"
"106","f",5.02,"5-5.5y",1,NA,39,NA,12,29,"prod","after error in teens, successfully counted twenties, thirties, forties with one support. Generous reading is: 1-12,15,14,16-39[40]41-49[50]60, 70.","prod","prod",12,12,49,"49",49,"1-12,15,14,16-39,100 [prompt] 10-29,100",49,"[40],41-49,[50],60,70,80,90,I forget",2,"Less sure about this - counted 20 past error in raw count, but failed to do so in supported count","received prompt without satisfying DCE criteria","undetected error, satisfy criteria.",NA,NA,"says audio recorded but not on server","infinity-130"
"107","f",4.21,"4-4.5y",0,NA,25,NA,25,25,"nonprod","","nonprod","nonprod",25,25,25,"25",25,"1-25,24",NA,NA,NA,"","","",1,0,"","infinity-131"
"108","f",5.22,"5-5.5y",1,"prod",39,39,39,39,"prod","","prod","prod",39,39,109,"109",109,"1-39 [39..] that's all I know",109,"[40],41-59,100,[60],61-69,100,[70],71-79,100,[80],81-89,[90],91-109,50",5,"","","count at least two decades higher than DCE without making more than three errors in each of those two decades",1,0,"","infinity-132"
"109","m",5.18,"5-5.5y",0,"prod",116,NA,116,116,"prod","","prod","prod",116,116,116,"116",116,"1-116",NA,NA,NA,"","","count to 99 on their own without making more than three errors",4,4,"","infinity-133"
"110","m",5.14,"5-5.5y",0,"prod",109,NA,109,109,"prod","","prod","prod",109,109,109,"109",109,"1-109,2000,2001-2009",NA,NA,NA,"Using 109 (and not 2009) as FHC here, even though it is part of a 2-number correct counting sequence. ","","count to 99 on their own without making more than three errors",1,1,"","infinity-134"
"111","m",5.72,"5.5-6y",1,"prod",65,69,65,65,"prod","","prod","prod",29,65,112,"112",112,"1-29,28,29-65,68,69,100",108,"69,[70],71-74,76,75-79,50,[no],80,[yes],81-89,50?[no],80?[no],90-99,50?[100],101-108,110-112,130,180",1,"","","count at least two decades higher than DCE without making more than three errors in each of those two decades",3,3,"","infinity-135"
"112","M",4.05,"4-4.5y",1,"NA-->nonprod",39,19,13,13,"prod","after DCE (19), counted twenties and thirties correctly","nonprod","prod",13,13,39,"39",39,"1-13,15-19,11,21-29,twenty ten, twenty eleven, twenty twelve,[28, 29],30-39, thirty ten, thirty eleven",39,"[39,40], no",1,"","received prompt without satisfying DCE criteria","undetected error, satisfy criteria.",2,1,"","infinity-136"
"113","M",5.49,"5-5.5y",1,"nonprod",49,49,49,49,"nonprod","","nonprod","nonprod",49,49,49,"49",49,"1-49.",49,"[50],100",1,"","","",1,1,"","infinity-138"
"114","M",5.61,"5.5-6y",0,NA,20,NA,20,20,"nonprod","","nonprod","nonprod",20,20,20,"20",20,"1-20,",NA,NA,NA,"","","",0,0,"","infinity-140"
"115","M",5.91,"5.5-6y",0,"prod",109,NA,109,109,"prod","","prod","prod",109,109,109,"109",109,"1-109,1000",NA,NA,NA,"","","count to 99 on their own without making more than three errors",0,0,"","infinity-141"
"116","M",5.93,"5.5-6y",0,"prod",129,NA,42,42,"prod","","prod","prod",42,42,129,"129",129,"1-42,44-129",NA,NA,NA,"","","count to 99 on their own without making more than three errors",0,0,"","infinity-142"
"117","M",5.61,"5.5-6y",0,"prod",100,NA,100,100,"prod","","prod","prod",100,100,100,"100",100,"1-100, 1000",NA,NA,NA,"","","count to 99 on their own without making more than three errors",1,0,"","infinity-143"
"118","M",5.59,"5.5-6y",0,NA,58,NA,58,58,"nonprod","","nonprod","nonprod",58,58,58,"58",58,"1- 58, 90",NA,NA,NA,"","multiple errors before stopping mid-decade","",1,0,"","infinity-144"
"119","F",5.72,"5.5-6y",1,"prod",49,49,49,49,"prod","","prod","prod",49,49,119,"119",119,"1- 49, 30,",69,"[50]-69, 30, 70-89, 30, 90-119",1,"","","count at least two decades higher than DCE without making more than three errors in each of those two decades",2,2,"","infinity-145"
"120","F",5.87,"5.5-6y",1,"prod",49,49,49,49,"prod","","prod","prod",49,49,109,"109",109,"1-49,",109,"[50]-69, [70]-79, [80]-109",3,"","","count at least two decades higher than DCE without making more than three errors in each of those two decades",0,0,"","infinity-146"
"121","F",5.69,"5.5-6y",0,"prod",100,NA,100,100,"prod","","prod","prod",100,100,100,"100",100,"1-100",NA,NA,NA,"","","count to 99 on their own without making more than three errors",NA,NA,"says audio recorded but not on server","infinity-147"
"122","F",5.8,"5.5-6y",NA,"prod",101,NA,101,101,"prod","","prod","prod",101,101,101,"101",101,"1-101",NA,"",NA,"","","count to 99 on their own without making more than three errors",3,3,"","infinity-148"
"123","M",5.69,"5.5-6y",NA,"prod",121,NA,121,121,"prod","","prod","prod",121,121,121,"121",121,"1-121",NA,"",NA,"","","count to 99 on their own without making more than three errors",2,2,"","infinity-149"
"124","F",5.84,"5.5-6y",NA,"prod",109,NA,109,109,"prod","","prod","prod",109,109,109,"109",109,"1-109",NA,"",NA,"","","count to 99 on their own without making more than three errors",1,1,"","infinity-150"
"125","M",5.84,"5.5-6y",NA,"prod",109,NA,109,109,"prod","","prod","prod",109,109,109,"109",109,"1-109",NA,"",NA,"","","count to 99 on their own without making more than three errors",0,0,"","infinity-151"
"126","F",5.71,"5.5-6y",1,"prod",49,49,49,49,"prod","","prod","prod",49,49,109,"109",109,"1 -- 49",68,"[50], 51-65, 68, 67-109 [110]",1,"","","count at least two decades higher than DCE without making more than three errors in each of those two decades",1,1,"","infinity-152"
"127","F",5.57,"5.5-6y",NA,"prod",109,NA,109,109,"prod","","prod","prod",109,109,109,"109",109,"1-109",NA,"",NA,"","","count to 99 on their own without making more than three errors",2,2,"","infinity-153"
"128","F",5.87,"5.5-6y",1,"prod",59,59,59,59,"prod","","prod","prod",59,59,109,"109",109,"1 -- 59",109,"[60],61 -109",1,"","","count at least two decades higher than DCE without making more than three errors in each of those two decades",3,3,"","infinity-154"
"129","F",5.99,"5.5-6y",1,"prod",79,79,79,79,"prod","","prod","prod",79,79,100,"100",100,"1--79",100,"[80]-89, [90]-100",2,"","","count at least two decades higher than DCE without making more than three errors in each of those two decades",1,1,"","infinity-155"
"130","F",5.53,"5.5-6y",1,"prod",49,49,49,49,"prod","","prod","prod",49,49,99,"99",99,"1--49",99,"[50] -59, [60]-69, [70] - 79, [80]-89, [90]-99, [100]",5,"","","count at least two decades higher than DCE without making more than three errors in each of those two decades",0,0,"","infinity-156"
"131","F",5.99,"5.5-6y",0,"prod",110,NA,110,110,"prod","","prod","prod",110,110,110,"110",110,"1-110",NA,"",NA,"","","count to 99 on their own without making more than three errors",1,1,"","infinity-157"
