LadlabID,Gender,Age,AgeGroup,HCReceivedSupport,productivity,spon.consec,dce,ihc,junyi.ihc,productivity_junyi,notes_junyi,productivity_rms,prod_tomerge,ihc_rms,ihc_tomerge,fhc_rms,fhc_pc_indnum--seq,fhc_tomerge,spon.raw,sup.noerror,sup.raw,sup.times,notes_rms,undetected_error,why_productive
081817-SB,F,5.87,5.5-6y,1,prod,49,49,49,49,prod,,prod,prod,49,49,109,109,109,"1-49,",109,"[50]-69, [70]-79, [80]-109",3,,,count at least two decades higher than DCE without making more than three errors in each of those two decades
082117-AD,F,5.69,5.5-6y,0,prod,100,NA,100,100,prod,,prod,prod,100,100,100,100,100,1-100,NA,NA,NA,,,count to 99 on their own without making more than three errors
082117-EC,F,5.8,5.5-6y,,prod,101,NA,101,101,prod,,prod,prod,101,101,101,101,101,1-101,NA,,NA,,,count to 99 on their own without making more than three errors
110417-HN,M,5.69,5.5-6y,,prod,121,NA,121,121,prod,,prod,prod,121,121,121,121,121,1-121,NA,,NA,,,count to 99 on their own without making more than three errors
110917-HB,F,5.84,5.5-6y,,prod,109,NA,109,109,prod,,prod,prod,109,109,109,109,109,1-109,NA,,NA,,,count to 99 on their own without making more than three errors
110917-HB2,M,5.84,5.5-6y,,prod,109,NA,109,109,prod,,prod,prod,109,109,109,109,109,1-109,NA,,NA,,,count to 99 on their own without making more than three errors
111117-C1,F,5.71,5.5-6y,1,prod,49,49,49,49,prod,,prod,prod,49,49,109,109,109,1 -- 49,68,"[50], 51-65, 68, 67-109 [110]",1,,,count at least two decades higher than DCE without making more than three errors in each of those two decades
111117-LF,F,5.57,5.5-6y,,prod,109,NA,109,109,prod,,prod,prod,109,109,109,109,109,1-109,NA,,NA,,,count to 99 on their own without making more than three errors
111117-VK,F,5.87,5.5-6y,1,prod,59,59,59,59,prod,,prod,prod,59,59,109,109,109,1 -- 59,109,"[60],61 -109",1,,,count at least two decades higher than DCE without making more than three errors in each of those two decades
111217-GL,F,5.99,5.5-6y,1,prod,79,79,79,79,prod,,prod,prod,79,79,100,100,100,1--79,100,"[80]-89, [90]-100",2,,,count at least two decades higher than DCE without making more than three errors in each of those two decades
111217-O1,F,5.53,5.5-6y,1,prod,49,49,49,49,prod,,prod,prod,49,49,99,99,99,1--49,99,"[50] -59, [60]-69, [70] - 79, [80]-89, [90]-99, [100]",5,,,count at least two decades higher than DCE without making more than three errors in each of those two decades
111217-S1,F,5.99,5.5-6y,0,prod,110,NA,110,110,prod,,prod,prod,110,110,110,110,110,1-110,NA,,NA,,,count to 99 on their own without making more than three errors
