"","X","Notes","Sex","Lang1","Bilingual","Lang2","Location","Experimenter","Enterer","AudioRecorded","Age","AgeGroup","InfinityInterviewDone","HCReceivedSupport","Task","TaskType","TaskItem","Accuracy","Response","SuccessorKnower","EndlessKnower","Category","LadlabID","Productivity","IHC","FHC","DCE","why_productive","suptimes.final","ProductivityStrict","delta.hc","Productivity.tertiary","ProductivityStrict.tertiary","AgeMonths","reminders.total","reminders.recovered","subID","InfinityKnower","NonKnower"
"1271",1787,NA,"m","english","y","a little Spanish","school","NN","JC","y",4.51,"4.5-5y","y","0","WCN","momentum","70",0,"idk",0,0,"A Non-knower","infinity-042","Nonproductive",13,13,NA,"stopped mid decade",NA,"Nonproductive",0,"Nonproductive","Nonproductive",54,0,0,"14","None or partial","No knowledge"
"1272",1788,NA,"m","english","y","a little Spanish","school","NN","JC","y",4.51,"4.5-5y","y","0","WCN","momentum","37",0,"idk",0,0,"A Non-knower","infinity-042","Nonproductive",13,13,NA,"stopped mid decade",NA,"Nonproductive",0,"Nonproductive","Nonproductive",54,0,0,"14","None or partial","No knowledge"
"1273",1789,NA,"m","english","y","a little Spanish","school","NN","JC","y",4.51,"4.5-5y","y","0","WCN","momentum","29",0,"4",0,0,"A Non-knower","infinity-042","Nonproductive",13,13,NA,"stopped mid decade",NA,"Nonproductive",0,"Nonproductive","Nonproductive",54,0,0,"14","None or partial","No knowledge"
"1274",1790,NA,"m","english","y","a little Spanish","school","NN","JC","y",4.51,"4.5-5y","y","0","WCN","momentum","86",0,"idk",0,0,"A Non-knower","infinity-042","Nonproductive",13,13,NA,"stopped mid decade",NA,"Nonproductive",0,"Nonproductive","Nonproductive",54,0,0,"14","None or partial","No knowledge"
"1275",1791,NA,"m","english","y","a little Spanish","school","NN","JC","y",4.51,"4.5-5y","y","0","WCN","momentum","59",0,"4",0,0,"A Non-knower","infinity-042","Nonproductive",13,13,NA,"stopped mid decade",NA,"Nonproductive",0,"Nonproductive","Nonproductive",54,0,0,"14","None or partial","No knowledge"
"1276",1792,NA,"m","english","y","a little Spanish","school","NN","JC","y",4.51,"4.5-5y","y","0","A1","biggestnumber","none",NA,"12",0,0,"A Non-knower","infinity-042","Nonproductive",13,13,NA,"stopped mid decade",NA,"Nonproductive",0,"Nonproductive","Nonproductive",54,0,0,"14","None or partial","No knowledge"
"1277",1793,NA,"m","english","y","a little Spanish","school","NN","JC","y",4.51,"4.5-5y","y","0","B1","isbiggest","no",NA,"yes",0,0,"A Non-knower","infinity-042","Nonproductive",13,13,NA,"stopped mid decade",NA,"Nonproductive",0,"Nonproductive","Nonproductive",54,0,0,"14","None or partial","No knowledge"
"1278",1794,NA,"m","english","y","a little Spanish","school","NN","JC","y",4.51,"4.5-5y","y","0","B2","endorforever","forever",NA,"end",0,0,"A Non-knower","infinity-042","Nonproductive",13,13,NA,"stopped mid decade",NA,"Nonproductive",0,"Nonproductive","Nonproductive",54,0,0,"14","None or partial","No knowledge"
"1279",1795,NA,"m","english","y","a little Spanish","school","NN","JC","y",4.51,"4.5-5y","y","0","B2","why","justification",NA,"idk",0,0,"A Non-knower","infinity-042","Nonproductive",13,13,NA,"stopped mid decade",NA,"Nonproductive",0,"Nonproductive","Nonproductive",54,0,0,"14","None or partial","No knowledge"
"1280",1796,NA,"m","english","y","a little Spanish","school","NN","JC","y",4.51,"4.5-5y","y","0","C1","canweaddtobignumber","yes",NA,"no",0,0,"A Non-knower","infinity-042","Nonproductive",13,13,NA,"stopped mid decade",NA,"Nonproductive",0,"Nonproductive","Nonproductive",54,0,0,"14","None or partial","No knowledge"
"1281",1797,NA,"m","english","y","a little Spanish","school","NN","JC","y",4.51,"4.5-5y","y","0","C1","why","justification",NA,NA,0,0,"A Non-knower","infinity-042","Nonproductive",13,13,NA,"stopped mid decade",NA,"Nonproductive",0,"Nonproductive","Nonproductive",54,0,0,"14","None or partial","No knowledge"
"1282",1798,NA,"m","english","y","a little Spanish","school","NN","JC","y",4.51,"4.5-5y","y","0","C2","canweadd1tox","yes",NA,"yes",0,0,"A Non-knower","infinity-042","Nonproductive",13,13,NA,"stopped mid decade",NA,"Nonproductive",0,"Nonproductive","Nonproductive",54,0,0,"14","None or partial","No knowledge"
"1283",1799,NA,"m","english","y","a little Spanish","school","NN","JC","y",4.51,"4.5-5y","y","0","C2","why","justification",NA,NA,0,0,"A Non-knower","infinity-042","Nonproductive",13,13,NA,"stopped mid decade",NA,"Nonproductive",0,"Nonproductive","Nonproductive",54,0,0,"14","None or partial","No knowledge"
"1284",1800,NA,"m","english","y","a little Spanish","school","NN","JC","y",4.51,"4.5-5y","y","0","C3","cankeepadding1","yes",NA,"no",0,0,"A Non-knower","infinity-042","Nonproductive",13,13,NA,"stopped mid decade",NA,"Nonproductive",0,"Nonproductive","Nonproductive",54,0,0,"14","None or partial","No knowledge"
"1285",1801,NA,"m","english","y","a little Spanish","school","NN","JC","y",4.51,"4.5-5y","y","0","C3","why","justification",NA,"idk",0,0,"A Non-knower","infinity-042","Nonproductive",13,13,NA,"stopped mid decade",NA,"Nonproductive",0,"Nonproductive","Nonproductive",54,0,0,"14","None or partial","No knowledge"
"1286",1802,NA,"m","english","y","a little Spanish","school","NN","JC","y",4.51,"4.5-5y","y","0","C3","whatwouldhappen","justification",NA,NA,0,0,"A Non-knower","infinity-042","Nonproductive",13,13,NA,"stopped mid decade",NA,"Nonproductive",0,"Nonproductive","Nonproductive",54,0,0,"14","None or partial","No knowledge"
"1287",1803,NA,"m","english","y","a little Spanish","school","NN","JC","y",4.51,"4.5-5y","y","0","D1","canyoucounttens","yes",NA,NA,0,0,"A Non-knower","infinity-042","Nonproductive",13,13,NA,"stopped mid decade",NA,"Nonproductive",0,"Nonproductive","Nonproductive",54,0,0,"14","None or partial","No knowledge"
"1288",1804,NA,"m","english","y","a little Spanish","school","NN","JC","y",4.51,"4.5-5y","y","0","D2","countingbytens","yes",NA,NA,0,0,"A Non-knower","infinity-042","Nonproductive",13,13,NA,"stopped mid decade",NA,"Nonproductive",0,"Nonproductive","Nonproductive",54,0,0,"14","None or partial","No knowledge"
"1289",1805,NA,"m","english","y","a little Spanish","school","NN","JC","y",4.51,"4.5-5y","y","0","D3","tenmorethanten","twenty",NA,NA,0,0,"A Non-knower","infinity-042","Nonproductive",13,13,NA,"stopped mid decade",NA,"Nonproductive",0,"Nonproductive","Nonproductive",54,0,0,"14","None or partial","No knowledge"
"1290",1806,NA,"m","english","y","a little Spanish","school","NN","JC","y",4.51,"4.5-5y","y","0","D4","tentwenty","30,40,50..",NA,NA,0,0,"A Non-knower","infinity-042","Nonproductive",13,13,NA,"stopped mid decade",NA,"Nonproductive",0,"Nonproductive","Nonproductive",54,0,0,"14","None or partial","No knowledge"
"1291",1893,NA,"f","english","n",NA,"lab","JC","JC","y",5.39,"5-5.5y","y","0","HC","spontaneous","raw",NA,"1-120",1,1,"D Full-knower","infinity-045","Productive",99,99,NA,"count to 99 on their own without making more than three errors",NA,"Productive",0,"Productive (IHC ≥ 99)","Productive (IHC ≥ 99)",64,1,1,"97","Full Infinity","Some knowledge"
"1292",1894,NA,"f","english","n",NA,"lab","JC","JC","y",5.39,"5-5.5y","y","0","HC","spontaneous","noerror",NA,"120",1,1,"D Full-knower","infinity-045","Productive",99,99,NA,"count to 99 on their own without making more than three errors",NA,"Productive",0,"Productive (IHC ≥ 99)","Productive (IHC ≥ 99)",64,1,1,"97","Full Infinity","Some knowledge"
"1293",1895,NA,"f","english","n",NA,"lab","JC","JC","y",5.39,"5-5.5y","y","0","HC","spontaneous","consecutive",NA,"120",1,1,"D Full-knower","infinity-045","Productive",99,99,NA,"count to 99 on their own without making more than three errors",NA,"Productive",0,"Productive (IHC ≥ 99)","Productive (IHC ≥ 99)",64,1,1,"97","Full Infinity","Some knowledge"
"1294",1896,NA,"f","english","n",NA,"lab","JC","JC","y",5.39,"5-5.5y","y","0","HC","supported","raw",NA,NA,1,1,"D Full-knower","infinity-045","Productive",99,99,NA,"count to 99 on their own without making more than three errors",NA,"Productive",0,"Productive (IHC ≥ 99)","Productive (IHC ≥ 99)",64,1,1,"97","Full Infinity","Some knowledge"
"1295",1897,NA,"f","english","n",NA,"lab","JC","JC","y",5.39,"5-5.5y","y","0","HC","supported","noerror",NA,NA,1,1,"D Full-knower","infinity-045","Productive",99,99,NA,"count to 99 on their own without making more than three errors",NA,"Productive",0,"Productive (IHC ≥ 99)","Productive (IHC ≥ 99)",64,1,1,"97","Full Infinity","Some knowledge"
"1296",1898,NA,"f","english","n",NA,"lab","JC","JC","y",5.39,"5-5.5y","y","0","HC","spontaneous","IHC",NA,"120",1,1,"D Full-knower","infinity-045","Productive",99,99,NA,"count to 99 on their own without making more than three errors",NA,"Productive",0,"Productive (IHC ≥ 99)","Productive (IHC ≥ 99)",64,1,1,"97","Full Infinity","Some knowledge"
"1297",1899,NA,"f","english","n",NA,"lab","JC","JC","y",5.39,"5-5.5y","y","0","HC","spontaneous","decchangeerror",NA,NA,1,1,"D Full-knower","infinity-045","Productive",99,99,NA,"count to 99 on their own without making more than three errors",NA,"Productive",0,"Productive (IHC ≥ 99)","Productive (IHC ≥ 99)",64,1,1,"97","Full Infinity","Some knowledge"
"1298",1900,NA,"f","english","n",NA,"lab","JC","JC","y",5.39,"5-5.5y","y","0","HC","productivity","classification",NA,"prod",1,1,"D Full-knower","infinity-045","Productive",99,99,NA,"count to 99 on their own without making more than three errors",NA,"Productive",0,"Productive (IHC ≥ 99)","Productive (IHC ≥ 99)",64,1,1,"97","Full Infinity","Some knowledge"
"1299",1901,NA,"f","english","n",NA,"lab","JC","JC","y",5.39,"5-5.5y","y","0","HC","supported","times",NA,NA,1,1,"D Full-knower","infinity-045","Productive",99,99,NA,"count to 99 on their own without making more than three errors",NA,"Productive",0,"Productive (IHC ≥ 99)","Productive (IHC ≥ 99)",64,1,1,"97","Full Infinity","Some knowledge"
"1300",1902,NA,"f","english","n",NA,"lab","JC","JC","y",5.39,"5-5.5y","y","0","WCN","practice","1",1,"2",1,1,"D Full-knower","infinity-045","Productive",99,99,NA,"count to 99 on their own without making more than three errors",NA,"Productive",0,"Productive (IHC ≥ 99)","Productive (IHC ≥ 99)",64,1,1,"97","Full Infinity","Some knowledge"
"1301",1903,NA,"f","english","n",NA,"lab","JC","JC","y",5.39,"5-5.5y","y","0","WCN","practice","5",1,"6",1,1,"D Full-knower","infinity-045","Productive",99,99,NA,"count to 99 on their own without making more than three errors",NA,"Productive",0,"Productive (IHC ≥ 99)","Productive (IHC ≥ 99)",64,1,1,"97","Full Infinity","Some knowledge"
"1302",1904,NA,"f","english","n",NA,"lab","JC","JC","y",5.39,"5-5.5y","y","0","WCN","immediate","23",1,"24",1,1,"D Full-knower","infinity-045","Productive",99,99,NA,"count to 99 on their own without making more than three errors",NA,"Productive",0,"Productive (IHC ≥ 99)","Productive (IHC ≥ 99)",64,1,1,"97","Full Infinity","Some knowledge"
"1303",1905,NA,"f","english","n",NA,"lab","JC","JC","y",5.39,"5-5.5y","y","0","WCN","immediate","40",1,"41",1,1,"D Full-knower","infinity-045","Productive",99,99,NA,"count to 99 on their own without making more than three errors",NA,"Productive",0,"Productive (IHC ≥ 99)","Productive (IHC ≥ 99)",64,1,1,"97","Full Infinity","Some knowledge"
"1304",1906,NA,"f","english","n",NA,"lab","JC","JC","y",5.39,"5-5.5y","y","0","WCN","immediate","62",1,"63",1,1,"D Full-knower","infinity-045","Productive",99,99,NA,"count to 99 on their own without making more than three errors",NA,"Productive",0,"Productive (IHC ≥ 99)","Productive (IHC ≥ 99)",64,1,1,"97","Full Infinity","Some knowledge"
"1305",1907,NA,"f","english","n",NA,"lab","JC","JC","y",5.39,"5-5.5y","y","0","WCN","immediate","70",1,"71",1,1,"D Full-knower","infinity-045","Productive",99,99,NA,"count to 99 on their own without making more than three errors",NA,"Productive",0,"Productive (IHC ≥ 99)","Productive (IHC ≥ 99)",64,1,1,"97","Full Infinity","Some knowledge"
"1306",1908,NA,"f","english","n",NA,"lab","JC","JC","y",5.39,"5-5.5y","y","0","WCN","immediate","37",1,"38",1,1,"D Full-knower","infinity-045","Productive",99,99,NA,"count to 99 on their own without making more than three errors",NA,"Productive",0,"Productive (IHC ≥ 99)","Productive (IHC ≥ 99)",64,1,1,"97","Full Infinity","Some knowledge"
"1307",1909,NA,"f","english","n",NA,"lab","JC","JC","y",5.39,"5-5.5y","y","0","WCN","immediate","29",1,"30",1,1,"D Full-knower","infinity-045","Productive",99,99,NA,"count to 99 on their own without making more than three errors",NA,"Productive",0,"Productive (IHC ≥ 99)","Productive (IHC ≥ 99)",64,1,1,"97","Full Infinity","Some knowledge"
"1308",1910,NA,"f","english","n",NA,"lab","JC","JC","y",5.39,"5-5.5y","y","0","WCN","immediate","86",1,"87",1,1,"D Full-knower","infinity-045","Productive",99,99,NA,"count to 99 on their own without making more than three errors",NA,"Productive",0,"Productive (IHC ≥ 99)","Productive (IHC ≥ 99)",64,1,1,"97","Full Infinity","Some knowledge"
"1309",1911,NA,"f","english","n",NA,"lab","JC","JC","y",5.39,"5-5.5y","y","0","WCN","immediate","59",1,"60",1,1,"D Full-knower","infinity-045","Productive",99,99,NA,"count to 99 on their own without making more than three errors",NA,"Productive",0,"Productive (IHC ≥ 99)","Productive (IHC ≥ 99)",64,1,1,"97","Full Infinity","Some knowledge"
"1310",1912,NA,"f","english","n",NA,"lab","JC","JC","y",5.39,"5-5.5y","y","0","WCN","momentum","3",NA,NA,1,1,"D Full-knower","infinity-045","Productive",99,99,NA,"count to 99 on their own without making more than three errors",NA,"Productive",0,"Productive (IHC ≥ 99)","Productive (IHC ≥ 99)",64,1,1,"97","Full Infinity","Some knowledge"
"1311",1913,NA,"f","english","n",NA,"lab","JC","JC","y",5.39,"5-5.5y","y","0","WCN","momentum","23",NA,NA,1,1,"D Full-knower","infinity-045","Productive",99,99,NA,"count to 99 on their own without making more than three errors",NA,"Productive",0,"Productive (IHC ≥ 99)","Productive (IHC ≥ 99)",64,1,1,"97","Full Infinity","Some knowledge"
"1312",1914,NA,"f","english","n",NA,"lab","JC","JC","y",5.39,"5-5.5y","y","0","WCN","momentum","40",NA,NA,1,1,"D Full-knower","infinity-045","Productive",99,99,NA,"count to 99 on their own without making more than three errors",NA,"Productive",0,"Productive (IHC ≥ 99)","Productive (IHC ≥ 99)",64,1,1,"97","Full Infinity","Some knowledge"
"1313",1915,NA,"f","english","n",NA,"lab","JC","JC","y",5.39,"5-5.5y","y","0","WCN","momentum","62",NA,NA,1,1,"D Full-knower","infinity-045","Productive",99,99,NA,"count to 99 on their own without making more than three errors",NA,"Productive",0,"Productive (IHC ≥ 99)","Productive (IHC ≥ 99)",64,1,1,"97","Full Infinity","Some knowledge"
"1314",1916,NA,"f","english","n",NA,"lab","JC","JC","y",5.39,"5-5.5y","y","0","WCN","momentum","70",NA,NA,1,1,"D Full-knower","infinity-045","Productive",99,99,NA,"count to 99 on their own without making more than three errors",NA,"Productive",0,"Productive (IHC ≥ 99)","Productive (IHC ≥ 99)",64,1,1,"97","Full Infinity","Some knowledge"
"1315",1917,NA,"f","english","n",NA,"lab","JC","JC","y",5.39,"5-5.5y","y","0","WCN","momentum","37",NA,NA,1,1,"D Full-knower","infinity-045","Productive",99,99,NA,"count to 99 on their own without making more than three errors",NA,"Productive",0,"Productive (IHC ≥ 99)","Productive (IHC ≥ 99)",64,1,1,"97","Full Infinity","Some knowledge"
"1316",1918,NA,"f","english","n",NA,"lab","JC","JC","y",5.39,"5-5.5y","y","0","WCN","momentum","29",NA,NA,1,1,"D Full-knower","infinity-045","Productive",99,99,NA,"count to 99 on their own without making more than three errors",NA,"Productive",0,"Productive (IHC ≥ 99)","Productive (IHC ≥ 99)",64,1,1,"97","Full Infinity","Some knowledge"
"1317",1919,NA,"f","english","n",NA,"lab","JC","JC","y",5.39,"5-5.5y","y","0","WCN","momentum","86",NA,NA,1,1,"D Full-knower","infinity-045","Productive",99,99,NA,"count to 99 on their own without making more than three errors",NA,"Productive",0,"Productive (IHC ≥ 99)","Productive (IHC ≥ 99)",64,1,1,"97","Full Infinity","Some knowledge"
"1318",1920,NA,"f","english","n",NA,"lab","JC","JC","y",5.39,"5-5.5y","y","0","WCN","momentum","59",NA,NA,1,1,"D Full-knower","infinity-045","Productive",99,99,NA,"count to 99 on their own without making more than three errors",NA,"Productive",0,"Productive (IHC ≥ 99)","Productive (IHC ≥ 99)",64,1,1,"97","Full Infinity","Some knowledge"
"1319",1921,NA,"f","english","n",NA,"lab","JC","JC","y",5.39,"5-5.5y","y","0","A1","biggestnumber","none",NA,"a thousand",1,1,"D Full-knower","infinity-045","Productive",99,99,NA,"count to 99 on their own without making more than three errors",NA,"Productive",0,"Productive (IHC ≥ 99)","Productive (IHC ≥ 99)",64,1,1,"97","Full Infinity","Some knowledge"
"1320",1922,NA,"f","english","n",NA,"lab","JC","JC","y",5.39,"5-5.5y","y","0","B1","isbiggest","no",NA,"no, it keeps going on [can you think of a bigger number?] but I don't know any more. But there are more.",1,1,"D Full-knower","infinity-045","Productive",99,99,NA,"count to 99 on their own without making more than three errors",NA,"Productive",0,"Productive (IHC ≥ 99)","Productive (IHC ≥ 99)",64,1,1,"97","Full Infinity","Some knowledge"
"1321",1923,NA,"f","english","n",NA,"lab","JC","JC","y",5.39,"5-5.5y","y","0","B2","endorforever","forever",NA,"forever",1,1,"D Full-knower","infinity-045","Productive",99,99,NA,"count to 99 on their own without making more than three errors",NA,"Productive",0,"Productive (IHC ≥ 99)","Productive (IHC ≥ 99)",64,1,1,"97","Full Infinity","Some knowledge"
"1322",1924,NA,"f","english","n",NA,"lab","JC","JC","y",5.39,"5-5.5y","y","0","B2","why","justification",NA,"I forgot",1,1,"D Full-knower","infinity-045","Productive",99,99,NA,"count to 99 on their own without making more than three errors",NA,"Productive",0,"Productive (IHC ≥ 99)","Productive (IHC ≥ 99)",64,1,1,"97","Full Infinity","Some knowledge"
"1323",1925,NA,"f","english","n",NA,"lab","JC","JC","y",5.39,"5-5.5y","y","0","C1","canweaddtobignumber","yes",NA,"yes",1,1,"D Full-knower","infinity-045","Productive",99,99,NA,"count to 99 on their own without making more than three errors",NA,"Productive",0,"Productive (IHC ≥ 99)","Productive (IHC ≥ 99)",64,1,1,"97","Full Infinity","Some knowledge"
"1324",1926,NA,"f","english","n",NA,"lab","JC","JC","y",5.39,"5-5.5y","y","0","C1","why","justification",NA,"numbers go on forever",1,1,"D Full-knower","infinity-045","Productive",99,99,NA,"count to 99 on their own without making more than three errors",NA,"Productive",0,"Productive (IHC ≥ 99)","Productive (IHC ≥ 99)",64,1,1,"97","Full Infinity","Some knowledge"
"1325",1927,NA,"f","english","n",NA,"lab","JC","JC","y",5.39,"5-5.5y","y","0","C2","canweadd1tox","yes",NA,"yes",1,1,"D Full-knower","infinity-045","Productive",99,99,NA,"count to 99 on their own without making more than three errors",NA,"Productive",0,"Productive (IHC ≥ 99)","Productive (IHC ≥ 99)",64,1,1,"97","Full Infinity","Some knowledge"
"1326",1928,NA,"f","english","n",NA,"lab","JC","JC","y",5.39,"5-5.5y","y","0","C2","why","justification",NA,"numbers go on forever",1,1,"D Full-knower","infinity-045","Productive",99,99,NA,"count to 99 on their own without making more than three errors",NA,"Productive",0,"Productive (IHC ≥ 99)","Productive (IHC ≥ 99)",64,1,1,"97","Full Infinity","Some knowledge"
"1327",1929,NA,"f","english","n",NA,"lab","JC","JC","y",5.39,"5-5.5y","y","0","C3","cankeepadding1","yes",NA,"yes",1,1,"D Full-knower","infinity-045","Productive",99,99,NA,"count to 99 on their own without making more than three errors",NA,"Productive",0,"Productive (IHC ≥ 99)","Productive (IHC ≥ 99)",64,1,1,"97","Full Infinity","Some knowledge"
"1328",1930,NA,"f","english","n",NA,"lab","JC","JC","y",5.39,"5-5.5y","y","0","C3","why","justification",NA,NA,1,1,"D Full-knower","infinity-045","Productive",99,99,NA,"count to 99 on their own without making more than three errors",NA,"Productive",0,"Productive (IHC ≥ 99)","Productive (IHC ≥ 99)",64,1,1,"97","Full Infinity","Some knowledge"
"1329",1931,NA,"f","english","n",NA,"lab","JC","JC","y",5.39,"5-5.5y","y","0","C3","whatwouldhappen","justification",NA,"you would get to a bigger number",1,1,"D Full-knower","infinity-045","Productive",99,99,NA,"count to 99 on their own without making more than three errors",NA,"Productive",0,"Productive (IHC ≥ 99)","Productive (IHC ≥ 99)",64,1,1,"97","Full Infinity","Some knowledge"
"1330",1932,NA,"f","english","n",NA,"lab","JC","JC","y",5.39,"5-5.5y","y","0","D1","canyoucounttens","yes",NA,"yes",1,1,"D Full-knower","infinity-045","Productive",99,99,NA,"count to 99 on their own without making more than three errors",NA,"Productive",0,"Productive (IHC ≥ 99)","Productive (IHC ≥ 99)",64,1,1,"97","Full Infinity","Some knowledge"
"1331",1933,NA,"f","english","n",NA,"lab","JC","JC","y",5.39,"5-5.5y","y","0","D2","countingbytens","yes",NA,"10,20,30,40,50,60,70,80,90,100,110",1,1,"D Full-knower","infinity-045","Productive",99,99,NA,"count to 99 on their own without making more than three errors",NA,"Productive",0,"Productive (IHC ≥ 99)","Productive (IHC ≥ 99)",64,1,1,"97","Full Infinity","Some knowledge"
"1332",1934,NA,"f","english","n",NA,"lab","JC","JC","y",5.39,"5-5.5y","y","0","D3","tenmorethanten","twenty",NA,NA,1,1,"D Full-knower","infinity-045","Productive",99,99,NA,"count to 99 on their own without making more than three errors",NA,"Productive",0,"Productive (IHC ≥ 99)","Productive (IHC ≥ 99)",64,1,1,"97","Full Infinity","Some knowledge"
"1333",1935,NA,"f","english","n",NA,"lab","JC","JC","y",5.39,"5-5.5y","y","0","D4","tentwenty","30,40,50..",NA,NA,1,1,"D Full-knower","infinity-045","Productive",99,99,NA,"count to 99 on their own without making more than three errors",NA,"Productive",0,"Productive (IHC ≥ 99)","Productive (IHC ≥ 99)",64,1,1,"97","Full Infinity","Some knowledge"
"1334",1936,NA,"m","english",NA,NA,"lab","KG","KG","y",5.79,"5.5-6y","y","0","HC","spontaneous","raw",NA,"1-150",0,1,"C Endless-only","infinity-046","Productive",99,99,NA,"count to 99 on their own without making more than three errors",NA,"Productive",0,"Productive (IHC ≥ 99)","Productive (IHC ≥ 99)",69,0,0,"98","None or partial","Some knowledge"
"1335",1937,NA,"m","english",NA,NA,"lab","KG","KG","y",5.79,"5.5-6y","y","0","HC","spontaneous","noerror",NA,"150",0,1,"C Endless-only","infinity-046","Productive",99,99,NA,"count to 99 on their own without making more than three errors",NA,"Productive",0,"Productive (IHC ≥ 99)","Productive (IHC ≥ 99)",69,0,0,"98","None or partial","Some knowledge"
"1336",1938,NA,"m","english",NA,NA,"lab","KG","KG","y",5.79,"5.5-6y","y","0","HC","spontaneous","consecutive",NA,"150",0,1,"C Endless-only","infinity-046","Productive",99,99,NA,"count to 99 on their own without making more than three errors",NA,"Productive",0,"Productive (IHC ≥ 99)","Productive (IHC ≥ 99)",69,0,0,"98","None or partial","Some knowledge"
"1337",1939,NA,"m","english",NA,NA,"lab","KG","KG","y",5.79,"5.5-6y","y","0","HC","supported","raw",NA,NA,0,1,"C Endless-only","infinity-046","Productive",99,99,NA,"count to 99 on their own without making more than three errors",NA,"Productive",0,"Productive (IHC ≥ 99)","Productive (IHC ≥ 99)",69,0,0,"98","None or partial","Some knowledge"
"1338",1940,NA,"m","english",NA,NA,"lab","KG","KG","y",5.79,"5.5-6y","y","0","HC","supported","noerror",NA,NA,0,1,"C Endless-only","infinity-046","Productive",99,99,NA,"count to 99 on their own without making more than three errors",NA,"Productive",0,"Productive (IHC ≥ 99)","Productive (IHC ≥ 99)",69,0,0,"98","None or partial","Some knowledge"
"1339",1941,NA,"m","english",NA,NA,"lab","KG","KG","y",5.79,"5.5-6y","y","0","HC","spontaneous","IHC",NA,"150",0,1,"C Endless-only","infinity-046","Productive",99,99,NA,"count to 99 on their own without making more than three errors",NA,"Productive",0,"Productive (IHC ≥ 99)","Productive (IHC ≥ 99)",69,0,0,"98","None or partial","Some knowledge"
"1340",1942,NA,"m","english",NA,NA,"lab","KG","KG","y",5.79,"5.5-6y","y","0","HC","spontaneous","decchangeerror",NA,NA,0,1,"C Endless-only","infinity-046","Productive",99,99,NA,"count to 99 on their own without making more than three errors",NA,"Productive",0,"Productive (IHC ≥ 99)","Productive (IHC ≥ 99)",69,0,0,"98","None or partial","Some knowledge"
"1341",1943,NA,"m","english",NA,NA,"lab","KG","KG","y",5.79,"5.5-6y","y","0","HC","productivity","classification",NA,"prod",0,1,"C Endless-only","infinity-046","Productive",99,99,NA,"count to 99 on their own without making more than three errors",NA,"Productive",0,"Productive (IHC ≥ 99)","Productive (IHC ≥ 99)",69,0,0,"98","None or partial","Some knowledge"
"1342",1944,NA,"m","english",NA,NA,"lab","KG","KG","y",5.79,"5.5-6y","y","0","HC","supported","times",NA,NA,0,1,"C Endless-only","infinity-046","Productive",99,99,NA,"count to 99 on their own without making more than three errors",NA,"Productive",0,"Productive (IHC ≥ 99)","Productive (IHC ≥ 99)",69,0,0,"98","None or partial","Some knowledge"
"1343",1945,NA,"m","english",NA,NA,"lab","KG","KG","y",5.79,"5.5-6y","y","0","WCN","practice","1",1,"2",0,1,"C Endless-only","infinity-046","Productive",99,99,NA,"count to 99 on their own without making more than three errors",NA,"Productive",0,"Productive (IHC ≥ 99)","Productive (IHC ≥ 99)",69,0,0,"98","None or partial","Some knowledge"
"1344",1946,NA,"m","english",NA,NA,"lab","KG","KG","y",5.79,"5.5-6y","y","0","WCN","practice","5",1,"6",0,1,"C Endless-only","infinity-046","Productive",99,99,NA,"count to 99 on their own without making more than three errors",NA,"Productive",0,"Productive (IHC ≥ 99)","Productive (IHC ≥ 99)",69,0,0,"98","None or partial","Some knowledge"
"1345",1947,NA,"m","english",NA,NA,"lab","KG","KG","y",5.79,"5.5-6y","y","0","WCN","immediate","23",1,"24",0,1,"C Endless-only","infinity-046","Productive",99,99,NA,"count to 99 on their own without making more than three errors",NA,"Productive",0,"Productive (IHC ≥ 99)","Productive (IHC ≥ 99)",69,0,0,"98","None or partial","Some knowledge"
"1346",1948,NA,"m","english",NA,NA,"lab","KG","KG","y",5.79,"5.5-6y","y","0","WCN","immediate","40",1,"41",0,1,"C Endless-only","infinity-046","Productive",99,99,NA,"count to 99 on their own without making more than three errors",NA,"Productive",0,"Productive (IHC ≥ 99)","Productive (IHC ≥ 99)",69,0,0,"98","None or partial","Some knowledge"
"1347",1949,NA,"m","english",NA,NA,"lab","KG","KG","y",5.79,"5.5-6y","y","0","WCN","immediate","62",1,"63",0,1,"C Endless-only","infinity-046","Productive",99,99,NA,"count to 99 on their own without making more than three errors",NA,"Productive",0,"Productive (IHC ≥ 99)","Productive (IHC ≥ 99)",69,0,0,"98","None or partial","Some knowledge"
"1348",1950,NA,"m","english",NA,NA,"lab","KG","KG","y",5.79,"5.5-6y","y","0","WCN","immediate","70",1,"71",0,1,"C Endless-only","infinity-046","Productive",99,99,NA,"count to 99 on their own without making more than three errors",NA,"Productive",0,"Productive (IHC ≥ 99)","Productive (IHC ≥ 99)",69,0,0,"98","None or partial","Some knowledge"
"1349",1951,NA,"m","english",NA,NA,"lab","KG","KG","y",5.79,"5.5-6y","y","0","WCN","immediate","37",1,"38",0,1,"C Endless-only","infinity-046","Productive",99,99,NA,"count to 99 on their own without making more than three errors",NA,"Productive",0,"Productive (IHC ≥ 99)","Productive (IHC ≥ 99)",69,0,0,"98","None or partial","Some knowledge"
